rank,id,player,team,bye_week,age,pos,adp_pos_rank,adp
1,22564,Ja'Marr Chase,CIN,10,25,WR,WR1,1.0
2,19766,Saquon Barkley,PHI,9,28,RB,RB1,2.0
3,23189,Bijan Robinson,ATL,5,23,RB,RB2,3.0
4,23200,Jahmyr Gibbs,DET,8,23,RB,RB3,4.0
5,21685,Justin Jefferson,MIN,6,26,WR,WR2,5.0
6,21679,CeeDee Lamb,DAL,10,26,WR,WR3,6.0
7,25868,Ashton Jeanty,LV,8,21,RB,RB4,7.0
8,18877,Christian McCaffrey,SF,14,29,RB,RB5,8.0
9,24172,Puka Nacua,LAR,8,24,WR,WR4,9.0
10,21756,Nico Collins,HOU,6,26,WR,WR5,10.0
11,17959,Derrick Henry,BAL,7,31,RB,RB6,11.0
12,24953,Malik Nabers,NYG,14,22,WR,WR6,12.0
13,22587,Amon-Ra St. Brown,DET,8,25,WR,WR7,13.0
14,21682,Jonathan Taylor,IND,11,26,RB,RB7,14.0
15,20824,Josh Jacobs,GB,5,27,RB,RB8,15.0
16,24179,De'Von Achane,MIA,12,23,RB,RB9,16.0
17,24933,Brian Thomas Jr.,JAX,8,22,WR,WR8,17.0
18,24967,Bucky Irving,TB,9,22,RB,RB10,18.0
19,19781,Lamar Jackson,BAL,7,28,QB,QB1,19.0
20,23212,Kyren Williams,LAR,8,24,RB,RB11,20.0
21,19801,Josh Allen,BUF,7,29,QB,QB2,21.0
22,21042,A.J. Brown,PHI,9,28,WR,WR9,22.0
23,23151,Drake London,ATL,5,24,WR,WR10,23.0
24,25097,Ladd McConkey,LAC,12,23,WR,WR11,24.0
25,24374,Chase Brown,CIN,10,25,RB,RB12,25.0
26,23235,Jayden Daniels,WAS,12,24,QB,QB3,26.0
27,23247,James Cook,BUF,7,25,RB,RB13,27.0
28,18082,Tyreek Hill,MIA,12,31,WR,WR12,28.0
29,21693,Joe Burrow,CIN,10,28,QB,QB4,29.0
30,24943,Brock Bowers,LV,8,22,TE,TE1,30.0
31,22526,Breece Hall,NYJ,9,24,RB,RB14,31.0
32,21690,Tee Higgins,CIN,10,26,WR,WR13,32.0
33,23157,Jaxon Smith-Njigba,SEA,8,23,WR,WR14,33.0
34,24974,Marvin Harrison Jr.,ARI,8,22,WR,WR15,34.0
35,21831,Jalen Hurts,PHI,9,26,QB,QB5,35.0
36,20873,Terry McLaurin,WAS,12,29,WR,WR16,36.0
37,16597,Mike Evans,TB,9,31,WR,WR17,37.0
38,16470,Davante Adams,LAR,8,32,WR,WR18,38.0
39,23122,Garrett Wilson,NYJ,9,25,WR,WR19,39.0
40,18878,Alvin Kamara,NO,11,30,RB,RB15,40.0
41,25956,Omarion Hampton,LAC,12,22,RB,RB16,41.0
42,23214,Kenneth Walker III,SEA,8,24,RB,RB17,42.0
43,18983,James Conner,ARI,8,30,RB,RB18,43.0
44,21691,Chuba Hubbard,CAR,14,26,RB,RB19,44.0
45,23251,Trey McBride,ARI,8,25,TE,TE2,45.0
46,19063,George Kittle,SF,14,31,TE,TE3,46.0
47,20875,DK Metcalf,PIT,5,27,WR,WR20,47.0
48,19800,Courtland Sutton,DEN,12,29,WR,WR21,48.0
49,19844,DJ Moore,CHI,5,28,WR,WR22,49.0
50,21687,DeVonta Smith,PHI,9,26,WR,WR23,50.0
51,18890,Patrick Mahomes,KC,10,29,QB,QB6,51.0
52,20882,David Montgomery,DET,8,28,RB,RB20,52.0
53,18858,Joe Mixon,HOU,6,29,RB,RB21,53.0
54,24120,Rashee Rice,KC,10,25,WR,WR24,54.0
55,23234,Jameson Williams,DET,8,24,WR,WR25,55.0
56,21684,D'Andre Swift,CHI,5,26,RB,RB22,56.0
57,23120,Zay Flowers,BAL,7,24,WR,WR26,57.0
58,19790,Baker Mayfield,TB,9,30,QB,QB7,58.0
59,26054,Tetairoa McMillan,CAR,14,22,WR,WR27,59.0
60,23141,Sam LaPorta,DET,8,24,TE,TE4,60.0
61,23245,TreVeyon Henderson,NE,14,22,RB,RB23,61.0
62,25944,RJ Harvey,DEN,12,24,RB,RB24,62.0
63,19045,Aaron Jones,MIN,6,30,RB,RB25,63.0
64,24924,Xavier Worthy,KC,10,22,WR,WR28,64.0
65,23153,George Pickens,DAL,10,24,WR,WR29,65.0
66,26040,Kaleb Johnson,PIT,5,21,RB,RB26,66.0
67,23371,Isiah Pacheco,KC,10,26,RB,RB27,67.0
68,19802,Calvin Ridley,TEN,10,30,WR,WR30,68.0
69,26056,Travis Hunter,JAX,8,22,WR,WR31,69.0
70,20912,Tony Pollard,TEN,10,28,RB,RB28,70.0
71,15048,Travis Kelce,KC,10,35,TE,TE5,71.0
72,25069,Bo Nix,DEN,12,25,QB,QB8,72.0
73,22598,Jaylen Waddle,MIA,12,26,WR,WR32,73.0
74,21692,Jerry Jeudy,CLE,9,26,WR,WR33,74.0
75,23190,Brian Robinson Jr.,WAS,12,26,RB,RB29,75.0
76,20932,Deebo Samuel Sr.,WAS,12,29,WR,WR34,76.0
77,20805,T.J. Hockenson,MIN,6,28,TE,TE6,77.0
78,18880,Chris Godwin,TB,9,29,WR,WR35,78.0
79,19803,Mark Andrews,BAL,7,29,TE,TE7,79.0
80,22565,Chris Olave,NO,11,25,WR,WR36,80.0
81,24977,Rome Odunze,CHI,5,23,WR,WR37,81.0
82,23162,Jordan Addison,MIN,6,23,WR,WR38,82.0
83,25092,Tyrone Tracy Jr.,NYG,14,25,RB,RB30,83.0
84,25946,Quinshon Judkins,CLE,9,21,RB,RB31,84.0
85,20889,Kyler Murray,ARI,8,27,QB,QB9,85.0
86,23479,Jaylen Warren,PIT,5,26,RB,RB32,86.0
87,20876,Jakobi Meyers,LV,8,28,WR,WR39,87.0
88,18882,Cooper Kupp,SEA,8,32,WR,WR40,88.0
89,23233,Jayden Reed,GB,5,25,WR,WR41,89.0
90,23227,Khalil Shakir,BUF,7,25,WR,WR42,90.0
91,21717,Jauan Jennings,SF,14,28,WR,WR43,91.0
92,17922,Jared Goff,DET,8,30,QB,QB10,92.0
93,16906,Stefon Diggs,NE,14,31,WR,WR44,93.0
94,25887,Cam Skattebo,NYG,14,23,RB,RB33,94.0
95,18055,Dak Prescott,DAL,10,32,QB,QB11,95.0
96,23241,Brock Purdy,SF,14,25,QB,QB12,96.0
97,21696,Travis Etienne Jr.,JAX,8,26,RB,RB34,97.0
98,24982,Ricky Pearsall,SF,14,24,WR,WR45,98.0
99,25922,Matthew Golden,GB,5,22,WR,WR46,99.0
100,22558,Javonte Williams,DAL,10,25,RB,RB35,100.0
101,18876,David Njoku,CLE,9,29,TE,TE8,101.0
102,24927,Caleb Williams,CHI,5,23,QB,QB13,102.0
