rank,id,player,team,pos,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,JukeRate,EvadedTackles,YardsCreated,YardsCreatedPerGame,YardsCreatedPerCarry,BreakawayRuns,BreakawayRunRate,FantasyPointsPerCarry,FantasyPointsPerTarget,FantasyPointsPerOpportunity,Drops,DropRate
1,19766,Saquon Barkley,PHI,RB,345,2005,5.8,13,43,33,278,2,18.8,71,1203,75.2,3.5,25,7.2,1.0,8.3,0.9,2,4.7
2,17959,Derrick Henry,BAL,RB,325,1921,5.9,16,22,19,193,2,20.9,72,1248,73.4,3.8,25,7.7,1.0,15.3,1.0,0,0.0
3,23212,Kyren Williams,LAR,RB,316,1299,4.1,14,40,34,182,2,20.3,71,973,60.8,3.1,6,1.9,0.9,6.8,0.8,1,2.5
4,23189,Bijan Robinson,ATL,RB,304,1456,4.8,14,72,61,431,1,22.7,83,1392,81.9,4.6,12,3.9,1.1,4.8,0.9,2,2.8
5,21682,Jonathan Taylor,IND,RB,303,1431,4.7,11,31,18,136,1,16.8,54,880,62.9,2.9,17,5.6,0.8,8.0,0.7,5,16.1
6,20824,Josh Jacobs,GB,RB,301,1329,4.4,15,43,36,342,1,26.1,88,1287,75.7,4.3,11,3.6,1.0,6.8,0.8,0,0.0
7,21768,Najee Harris,PIT,RB,263,1043,4.0,6,48,36,283,0,22.1,66,1018,59.9,3.9,11,4.2,0.8,4.3,0.7,4,8.3
8,20912,Tony Pollard,TEN,RB,260,1079,4.2,5,57,41,238,0,14.6,44,939,58.7,3.6,13,5.0,0.8,3.5,0.6,8,14.0
9,19045,Aaron Jones,MIN,RB,255,1138,4.5,5,62,51,408,2,15.7,48,1026,60.4,4.0,9,3.5,0.9,3.9,0.8,3,4.8
10,21684,D'Andre Swift,CHI,RB,253,959,3.8,6,52,42,386,0,14.9,44,972,57.2,3.8,9,3.5,0.8,4.1,0.7,3,5.8
11,21691,Chuba Hubbard,CAR,RB,250,1195,4.8,10,54,43,171,1,19.4,57,976,65.1,3.9,15,6.0,1.0,4.5,0.8,2,3.7
12,23200,Jahmyr Gibbs,DET,RB,250,1412,5.6,16,63,52,517,4,27.1,82,1263,74.3,5.1,25,10.0,1.5,5.8,1.1,0,0.0
13,18858,Joe Mixon,HOU,RB,245,1016,4.1,11,52,36,309,1,21.0,59,1001,71.5,4.1,11,4.5,1.0,4.6,0.8,3,5.8
