rank,id,player,team,pos,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
1,19766,Saquon Barkley,PHI,RB,345,2005,5.8,13,43,33,278,2,75.8,78.7,79.1,5.8,20.9,5.9,6.5,8.7,29.9,61.4
2,17959,Derrick Henry,BAL,RB,325,1921,5.9,16,22,19,193,2,58.1,73.4,44.6,6.3,55.4,5.6,6.1,11.7,35.1,53.2
3,23189,Bijan Robinson,ATL,RB,304,1456,4.8,14,72,61,431,1,76.0,69.8,75.3,4.7,24.7,5.0,6.3,8.9,23.4,67.8
4,21682,Jonathan Taylor,IND,RB,303,1431,4.7,11,31,18,136,1,80.5,88.3,79.2,4.8,20.8,4.4,6.6,10.2,37.3,52.5
5,23200,Jahmyr Gibbs,DET,RB,250,1412,5.6,16,63,52,517,4,56.3,53.2,31.6,5.6,68.4,5.7,6.4,6.0,35.6,58.4
6,20824,Josh Jacobs,GB,RB,301,1329,4.4,15,43,36,342,1,62.8,66.5,64.1,4.9,35.9,3.5,6.5,8.3,37.5,54.1
7,23212,Kyren Williams,LAR,RB,316,1299,4.1,14,40,34,182,2,88.4,82.8,34.2,4.4,65.8,4.0,6.5,6.3,38.0,55.7
8,21691,Chuba Hubbard,CAR,RB,250,1195,4.8,10,54,43,171,1,77.3,77.9,33.6,4.3,66.4,5.0,6.5,9.2,30.8,60.0
9,19045,Aaron Jones,MIN,RB,255,1138,4.5,5,62,51,408,2,63.4,69.2,17.2,4.1,80.0,4.5,6.4,10.2,38.8,48.2
10,24967,Bucky Irving,TB,RB,207,1121,5.4,8,52,47,392,0,45.7,49.6,32.9,6.5,67.1,4.9,6.4,3.9,33.8,62.3
11,18983,James Conner,ARI,RB,236,1094,4.6,8,55,47,414,1,61.1,66.3,53.0,5.3,47.0,3.9,6.4,5.5,33.0,61.4
12,21952,Rico Dowdle,DAL,RB,235,1079,4.6,2,49,39,249,3,57.5,68.8,46.4,4.5,53.6,4.7,6.3,6.8,23.0,70.2
13,20912,Tony Pollard,TEN,RB,260,1079,4.2,5,57,41,238,0,68.8,73.0,52.3,4.3,47.7,4.0,6.5,10.0,35.8,54.2
14,21768,Najee Harris,PIT,RB,263,1043,4.0,6,48,36,283,0,50.2,58.0,25.1,4.4,74.9,3.8,6.7,13.7,45.2,41.1
15,18858,Joe Mixon,HOU,RB,245,1016,4.1,11,52,36,309,1,63.3,77.7,26.9,3.6,73.1,4.3,6.8,13.1,48.2,38.8
16,23247,James Cook,BUF,RB,207,1009,4.9,16,38,32,258,2,49.2,58.9,42.5,5.4,57.5,4.5,6.5,11.1,33.8,55.1
17,24374,Chase Brown,CIN,RB,229,990,4.3,7,65,54,360,4,65.0,72.8,62.0,4.6,38.0,3.9,6.6,14.4,28.8,56.8
18,21684,D'Andre Swift,CHI,RB,253,959,3.8,6,52,42,386,0,66.9,75.9,37.5,4.2,62.5,3.5,6.4,6.3,33.2,60.5
19,18878,Alvin Kamara,NO,RB,228,950,4.2,6,89,68,543,2,73.1,76.4,24.6,4.5,75.4,4.1,6.7,15.8,41.7,42.5
20,24179,De'Von Achane,MIA,RB,203,907,4.5,6,87,78,592,6,63.2,59.1,58.6,4.0,41.4,5.1,6.6,5.9,47.3,46.8
21,22526,Breece Hall,NYJ,RB,209,876,4.2,5,76,57,483,3,72.3,68.8,48.3,4.5,47.4,4.0,6.1,6.2,31.1,58.4
22,21674,J.K. Dobbins,LAC,RB,177,842,4.8,9,35,29,141,0,63.2,64.8,54.2,4.4,45.8,5.2,6.5,11.9,35.0,53.1
