rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,24943,Brock Bowers,LV,TE,153,112,1194,5,4.3,2.1,91.8,25,8,32.0,10.7,7.8,2.2,6,3.9
2,23251,Trey McBride,ARI,TE,147,111,1146,2,3.6,1.8,93.3,15,6,40.0,10.3,7.8,2.4,3,2.0
3,15048,Travis Kelce,KC,TE,133,97,823,3,3.6,2.0,90.7,14,5,35.7,8.5,6.2,1.7,6,4.5
4,18990,Jonnu Smith,MIA,TE,111,88,884,8,4.2,2.0,94.6,13,8,61.5,10.0,8.0,2.4,4,3.6
5,17975,Hunter Henry,NE,TE,98,66,674,2,4.0,1.5,94.3,16,7,43.8,10.2,6.9,1.6,2,2.0
6,18876,David Njoku,CLE,TE,97,64,505,5,2.7,1.6,86.5,22,12,54.5,7.9,5.2,1.5,7,7.2
7,19063,George Kittle,SF,TE,94,78,1106,8,2.4,2.0,94.0,17,13,76.5,14.2,11.8,3.1,2,2.1
8,14856,Zach Ertz,WAS,TE,91,66,654,7,4.4,1.7,85.7,9,3,33.3,9.9,7.2,1.5,3,3.3
9,23134,Cade Otton,TB,TE,87,59,600,4,3.9,1.8,88.0,13,6,46.2,10.2,6.9,1.4,7,8.0
10,23138,Jake Ferguson,DAL,TE,86,59,494,0,3.4,1.9,96.7,11,5,45.5,8.4,5.7,1.6,2,2.3
11,19920,Dalton Schultz,HOU,TE,85,53,532,2,4.9,1.5,86.9,13,6,46.2,10.0,6.2,1.1,5,5.9
12,19853,Mike Gesicki,CIN,TE,83,65,665,2,5.0,1.9,89.0,11,6,54.5,10.2,8.0,1.7,5,6.0
13,23141,Sam LaPorta,DET,TE,83,60,726,7,2.9,2.1,95.2,12,6,50.0,12.1,8.7,1.8,1,1.2
14,22507,Pat Freiermuth,PIT,TE,78,65,653,7,4.5,1.8,95.6,10,9,90.0,10.0,8.4,1.7,3,3.8
15,24102,Dalton Kincaid,BUF,TE,75,44,448,2,4.5,1.6,89.8,5,2,40.0,10.2,6.0,1.8,2,2.7
16,22508,Kyle Pitts Sr.,ATL,TE,74,47,602,4,5.5,1.6,87.0,17,3,17.6,12.8,8.1,1.6,3,4.0
17,19988,Tyler Conklin,NYJ,TE,72,51,449,4,3.0,1.9,108.5,7,2,28.6,8.8,6.2,0.9,1,1.4
