rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,24943,Brock Bowers,LV,TE,112,1194,5,77.5,86.3,6.0,923,54.3,8,153,14,6,6.9,25.9,1.7
2,23251,Trey McBride,ARI,TE,111,1146,2,86.5,90.7,6.1,902,56.4,8,147,21,9,6.2,29.3,1.7
3,19063,George Kittle,SF,TE,78,1106,8,70.3,86.2,8.5,800,53.3,10,94,21,10,6.5,22.0,2.5
4,18990,Jonnu Smith,MIA,TE,88,884,8,58.7,56.1,4.9,542,31.9,6,111,19,6,6.8,20.0,2.0
5,15048,Travis Kelce,KC,TE,97,823,3,79.6,85.5,6.6,883,55.2,9,133,26,5,6.8,24.1,1.5
6,23141,Sam LaPorta,DET,TE,60,726,7,73.6,85.4,7.0,580,36.2,10,83,19,9,6.5,17.0,2.1
7,24118,Tucker Kraft,GB,TE,50,707,7,53.5,85.8,5.3,374,22.0,7,70,13,4,6.2,15.1,2.3
8,17975,Hunter Henry,NE,TE,66,674,2,78.2,81.5,7.0,686,42.9,10,98,18,9,6.4,20.8,1.5
9,19803,Mark Andrews,BAL,TE,55,673,11,58.3,61.7,10.5,727,42.8,13,69,15,10,6.9,15.3,2.7
10,19853,Mike Gesicki,CIN,TE,65,665,2,56.4,46.3,7.4,615,36.2,9,83,10,5,7.0,13.2,1.7
11,14856,Zach Ertz,WAS,TE,66,654,7,75.8,69.5,7.5,686,40.4,10,91,20,9,6.4,18.1,1.9
12,22507,Pat Freiermuth,PIT,TE,65,653,7,69.7,68.8,6.1,477,28.1,7,78,14,3,7.3,16.9,2.1
13,22508,Kyle Pitts Sr.,ATL,TE,47,602,4,62.1,62.6,8.4,623,36.6,13,74,12,8,6.3,13.7,1.8
14,23134,Cade Otton,TB,TE,59,600,4,85.5,92.8,5.4,471,33.6,8,87,15,9,6.5,19.0,1.6
15,21738,Juwan Johnson,NO,TE,50,548,3,62.1,64.0,8.1,537,31.6,11,66,6,2,6.5,12.9,1.9
16,19920,Dalton Schultz,HOU,TE,53,532,2,78.4,79.2,8.0,684,40.2,13,85,8,3,6.6,15.6,1.4
17,18876,David Njoku,CLE,TE,64,505,5,66.8,75.8,5.2,505,45.9,8,97,12,11,6.0,22.8,1.5
18,20753,Noah Fant,SEA,TE,48,500,1,73.4,64.1,5.3,339,24.2,7,64,4,3,6.5,13.4,1.6
19,19863,Dallas Goedert,PHI,TE,42,496,2,61.9,66.5,6.6,343,34.3,8,52,8,5,7.1,19.3,2.0
20,23138,Jake Ferguson,DAL,TE,59,494,0,55.5,65.6,4.2,360,25.7,6,86,6,2,6.1,16.9,1.2
21,19950,Will Dissly,LAC,TE,50,481,2,43.5,56.5,4.6,295,19.7,6,64,8,2,7.2,15.1,1.7
22,23489,Chig Okonkwo,TEN,TE,52,479,2,50.9,61.1,5.9,415,24.4,8,70,5,4,6.4,13.8,1.6
23,23256,Isaiah Likely,BAL,TE,42,477,6,52.8,60.5,8.1,467,29.2,11,58,13,9,6.0,13.8,2.1
24,17963,Austin Hooper,NE,TE,45,476,3,42.3,52.3,6.5,386,22.7,9,59,8,3,6.3,11.8,1.8
25,21772,Cole Kmet,CHI,TE,47,474,4,66.7,87.2,7.1,393,23.1,8,55,8,2,7.0,10.4,2.2
26,20805,T.J. Hockenson,MIN,TE,41,455,0,45.2,47.3,6.1,378,37.8,9,62,8,2,6.2,18.4,1.4
27,19988,Tyler Conklin,NYJ,TE,51,449,4,80.8,80.1,4.4,318,19.9,6,72,9,4,6.5,12.8,1.7
28,24102,Dalton Kincaid,BUF,TE,44,448,2,62.6,57.5,7.6,573,44.1,13,75,10,4,5.9,20.2,1.3
29,21785,Noah Gray,KC,TE,40,437,5,36.2,58.2,6.3,309,18.2,8,49,9,6,7.0,8.6,2.3
30,20884,Foster Moreau,NO,TE,32,413,5,34.2,69.6,9.2,397,23.4,12,43,9,7,6.4,8.4,2.4
31,24223,Brenton Strange,JAX,TE,40,411,2,36.9,56.1,6.4,341,20.1,9,53,6,5,6.7,10.2,1.7
32,18912,Evan Engram,JAX,TE,47,365,1,69.2,71.9,5.6,360,40.0,8,64,5,1,6.5,25.1,1.4
33,24947,Ja'Tavion Sanders,CAR,TE,33,342,1,53.4,54.5,6.3,273,17.1,8,43,6,1,7.2,9.0,1.7
34,23142,Theo Johnson,NYG,TE,29,331,1,70.5,83.9,6.7,288,24.0,10,43,1,1,8.0,11.1,1.6
35,19903,Jordan Akins,CLE,TE,34,330,1,37.2,37.0,5.5,273,17.1,8,50,5,2,6.0,8.3,1.5
36,20850,Dawson Knox,BUF,TE,22,311,1,47.6,61.2,9.6,316,19.8,14,33,5,2,6.1,7.1,1.8
37,23486,Grant Calcaterra,PHI,TE,24,298,1,46.2,64.7,7.3,220,12.9,9,30,3,1,6.8,7.2,2.0
38,21807,Colby Parkinson,LAR,TE,30,294,1,50.0,56.1,5.4,263,15.5,9,49,9,5,6.5,9.1,1.3
39,20899,Josh Oliver,MIN,TE,22,258,3,31.5,55.4,7.8,218,14.5,10,28,3,3,6.5,6.2,2.4
40,24375,Josh Whyle,TEN,TE,28,248,1,22.7,31.0,5.7,210,12.3,8,37,4,2,6.1,7.3,1.6
41,25106,AJ Barner,SEA,TE,30,245,4,34.9,44.9,3.6,136,8.0,5,38,6,2,6.6,6.7,2.1
42,24288,Luke Schoonmaker,DAL,TE,27,241,1,19.6,34.7,5.5,199,11.7,7,36,1,2,6.3,5.8,1.6
43,22662,Tommy Tremble,CAR,TE,23,234,2,52.6,68.4,5.7,182,15.2,8,32,4,2,6.2,8.3,1.8
44,23644,Stone Smartt,LAC,TE,16,208,0,17.9,18.7,10.1,192,12.8,12,19,1,0,7.2,4.3,1.8
45,23136,Darnell Washington,PIT,TE,19,200,1,16.3,51.1,4.3,108,6.3,6,25,1,2,6.2,5.4,1.8
46,21786,Adam Trautman,DEN,TE,13,188,2,19.1,52.0,5.7,125,7.3,10,22,5,2,7.0,4.1,2.0
47,22823,Kylen Granson,IND,TE,14,182,0,40.5,38.7,11.3,352,20.7,25,31,5,0,5.7,6.3,1.0
48,24449,Elijah Higgins,ARI,TE,20,172,2,25.3,36.8,4.5,108,6.3,5,24,3,2,7.0,4.6,2.0
