rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,22564,Ja'Marr Chase,CIN,WR,175,127,1708,17,4.5,1.6,90.7,18,7,38.9,13.4,9.8,2.4,9,5.1
2,24953,Malik Nabers,NYG,WR,170,109,1204,7,5.0,1.6,86.5,36,15,41.7,11.0,7.1,2.2,10,5.9
3,23151,Drake London,ATL,WR,157,100,1271,9,5.8,1.1,87.7,45,22,48.9,12.7,8.1,2.5,5,3.2
4,23122,Garrett Wilson,NYJ,WR,153,101,1104,7,3.5,1.5,103.1,30,14,46.7,10.9,7.2,1.7,4,2.6
5,21685,Justin Jefferson,MIN,WR,153,103,1533,10,4.5,1.6,96.3,22,12,54.5,14.9,10.0,2.6,5,3.3
6,21679,CeeDee Lamb,DAL,WR,152,101,1194,6,4.3,1.5,91.8,24,12,50.0,11.8,7.8,2.3,6,3.9
7,21692,Jerry Jeudy,CLE,WR,144,90,1229,4,4.7,1.5,87.4,22,6,27.3,13.7,8.5,1.8,8,5.5
8,22587,Amon-Ra St. Brown,DET,WR,142,115,1263,12,4.8,1.9,98.3,18,9,50.0,11.0,8.9,2.4,2,1.4
9,16470,Davante Adams,NYJ,WR,141,85,1063,8,4.3,1.6,91.4,23,10,43.5,12.5,7.5,2.1,5,3.5
10,23170,Wan'Dale Robinson,NYG,WR,140,93,699,3,5.5,1.7,93.0,24,11,45.8,7.5,5.0,1.2,5,3.6
11,19844,DJ Moore,CHI,WR,140,98,966,6,4.6,2.2,95.1,19,8,42.1,9.8,6.9,1.5,5,3.6
12,23157,Jaxon Smith-Njigba,SEA,WR,137,100,1130,6,5.3,1.9,92.6,16,3,18.8,11.3,8.2,1.8,2,1.4
13,19800,Courtland Sutton,DEN,WR,135,81,1081,8,4.8,1.2,101.2,33,20,60.6,13.3,8.0,1.9,3,2.2
14,24933,Brian Thomas Jr.,JAX,WR,133,87,1282,10,5.3,1.8,88.8,15,6,40.0,14.7,9.6,2.5,5,3.8
15,20876,Jakobi Meyers,LV,WR,129,87,1027,4,4.9,1.6,94.6,27,14,51.9,11.8,8.0,1.8,2,1.6
16,18082,Tyreek Hill,MIA,WR,122,81,959,6,4.8,1.7,93.1,19,5,26.3,11.8,7.9,1.9,2,1.6
17,19802,Calvin Ridley,TEN,WR,120,64,1017,4,5.3,1.3,90.1,22,11,50.0,15.9,8.5,1.9,3,2.5
18,15076,Keenan Allen,CHI,WR,118,67,719,7,5.4,1.6,87.0,26,12,46.2,10.7,6.1,1.5,5,4.2
19,20873,Terry McLaurin,WAS,WR,117,82,1096,13,5.2,1.4,94.2,29,17,58.6,13.4,9.4,2.1,0,0.0
20,24974,Marvin Harrison Jr.,ARI,WR,116,62,885,8,5.1,1.0,78.5,35,10,28.6,14.3,7.6,1.7,3,2.6
21,23120,Zay Flowers,BAL,WR,116,74,1059,4,5.4,2.1,94.9,15,7,46.7,14.3,9.1,2.3,3,2.6
22,21717,Jauan Jennings,SF,WR,113,77,975,6,4.1,1.4,92.8,30,18,60.0,12.7,8.6,2.4,4,3.5
23,25097,Ladd McConkey,LAC,WR,112,82,1149,7,5.6,1.6,92.1,17,10,58.8,14.0,10.2,2.6,2,1.8
24,21744,Michael Pittman Jr.,IND,WR,111,69,808,3,5.5,1.4,89.6,28,14,50.0,11.7,7.3,1.7,2,1.8
25,16597,Mike Evans,TB,WR,110,74,1004,11,5.4,1.3,90.2,23,13,56.5,13.6,9.1,2.4,4,3.6
26,21690,Tee Higgins,CIN,WR,109,73,911,10,4.8,1.3,83.9,29,15,51.7,12.5,8.3,2.1,4,3.7
27,20875,DK Metcalf,SEA,WR,108,66,992,5,5.3,1.3,85.7,26,5,19.2,15.0,9.2,1.8,3,2.8
28,21961,Darnell Mooney,ATL,WR,107,64,992,5,5.1,1.6,91.4,23,10,43.5,15.5,9.3,2.0,2,1.9
29,24145,Josh Downs,IND,WR,107,72,803,5,5.0,1.8,92.3,11,3,27.3,11.2,7.5,2.2,5,4.7
30,24172,Puka Nacua,LAR,WR,106,79,990,3,4.7,1.6,109.7,14,6,42.9,12.5,9.3,4.1,2,1.9
31,23153,George Pickens,PIT,WR,103,59,900,3,5.1,1.2,85.5,29,13,44.8,15.2,8.7,2.1,6,5.8
32,24977,Rome Odunze,CHI,WR,101,54,734,3,5.7,1.6,91.5,22,12,54.5,13.6,7.3,1.3,2,2.0
33,18882,Cooper Kupp,LAR,WR,100,67,710,6,5.4,1.5,90.5,12,4,33.3,10.6,7.1,2.1,1,1.0
34,23227,Khalil Shakir,BUF,WR,100,76,821,4,5.0,2.1,98.7,9,3,33.3,10.8,8.2,2.3,0,0.0
35,23162,Jordan Addison,MIN,WR,99,63,875,9,5.3,1.6,96.9,16,9,56.2,13.9,8.8,1.8,1,1.0
36,21756,Nico Collins,HOU,WR,99,68,1006,7,4.8,1.6,91.9,14,8,57.1,14.8,10.2,2.9,3,3.0
37,22592,Elijah Moore,CLE,WR,98,58,502,1,4.7,1.5,95.1,14,5,35.7,8.7,5.1,0.9,1,1.0
38,24924,Xavier Worthy,KC,WR,98,59,638,6,5.0,2.1,84.3,9,3,33.3,10.8,6.5,1.3,3,3.1
39,21042,A.J. Brown,PHI,WR,97,67,1079,7,5.0,1.2,94.4,21,10,47.6,16.1,11.1,3.2,2,2.1
40,23234,Jameson Williams,DET,WR,91,58,1001,7,5.1,2.0,87.9,10,3,30.0,17.2,11.0,2.2,3,3.3
41,24226,Quentin Johnston,LAC,WR,91,55,711,8,4.9,1.7,84.6,22,8,36.4,12.9,7.8,1.9,4,4.4
42,21687,DeVonta Smith,PHI,WR,89,68,833,8,5.5,1.8,95.8,10,5,50.0,12.2,9.3,2.2,2,2.2
43,24180,DeMario Douglas,NE,WR,88,67,621,3,4.7,2.2,95.7,8,3,37.5,9.3,7.0,1.4,3,3.4
44,19961,Ray-Ray McCloud III,ATL,WR,87,62,686,1,6.0,1.9,86.1,14,4,28.6,11.1,7.9,1.3,3,3.4
45,16765,Amari Cooper,BUF,WR,85,44,547,4,4.8,1.3,91.7,18,8,44.4,12.4,6.4,1.5,3,3.5
46,25003,Xavier Legette,CAR,WR,84,49,497,4,5.0,1.4,83.0,20,9,45.0,10.1,5.9,1.2,5,6.0
47,22598,Jaylen Waddle,MIA,WR,83,58,744,2,4.0,1.6,90.6,7,3,42.9,12.8,9.0,1.7,3,3.6
48,24176,Tank Dell,HOU,WR,81,51,667,3,5.0,1.4,91.1,8,2,25.0,13.1,8.2,1.6,3,3.7
49,20932,Deebo Samuel Sr.,SF,WR,81,51,670,3,4.1,1.7,89.5,14,4,28.6,13.1,8.3,1.7,4,4.9
50,24177,Tre Tucker,LV,WR,81,47,539,3,4.9,1.6,94.0,17,5,29.4,11.5,6.7,0.9,1,1.2
51,14986,DeAndre Hopkins,KC,WR,80,56,610,5,4.6,1.6,93.3,22,10,45.5,10.9,7.6,1.8,1,1.2
52,22597,Jalen Tolbert,DAL,WR,79,49,610,7,4.9,1.5,87.5,17,7,41.2,12.4,7.7,1.2,3,3.8
53,23253,Dontayvion Wicks,GB,WR,76,39,415,5,5.2,1.5,79.6,14,5,35.7,10.6,5.5,1.6,5,6.6
54,23233,Jayden Reed,GB,WR,75,55,857,6,4.5,2.4,87.3,7,3,42.9,15.6,11.4,2.4,5,6.7
55,23167,Romeo Doubs,GB,WR,72,46,601,4,4.8,1.4,88.5,12,5,41.7,13.1,8.3,1.8,4,5.5
56,22623,Rashod Bateman,BAL,WR,72,45,756,9,4.9,1.9,95.7,7,3,42.9,16.8,10.5,1.8,3,4.2
57,24173,Michael Wilson,ARI,WR,71,47,548,4,5.6,1.4,90.4,14,7,50.0,11.7,7.7,1.1,3,4.2
58,20943,Darius Slayton,NYG,WR,71,39,573,2,5.1,1.2,84.8,20,8,40.0,14.7,8.1,1.1,3,4.2
59,16830,Tyler Lockett,SEA,WR,70,47,572,2,5.7,1.4,90.4,13,7,53.8,12.2,8.2,1.1,1,1.4
60,23232,Alec Pierce,IND,WR,69,37,824,7,5.3,1.1,88.1,12,7,58.3,22.3,11.9,1.9,3,4.3
61,23121,Kayshon Boutte,NE,WR,68,43,589,3,4.5,1.5,89.6,10,5,50.0,13.7,8.7,1.3,4,5.9
62,22613,Joshua Palmer,LAC,WR,65,39,584,1,5.4,1.3,88.6,11,2,18.2,15.0,9.0,1.6,2,3.1
