rank,id,player,team,pos,Receptions,ReceivingYards,ReceivingTDs,RouteParticipation,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,22564,Ja'Marr Chase,CIN,WR,127,1708,17,99.8,93.3,8.7,1526,89.8,12,175,36,21,6.7,27.9,2.3
2,21685,Justin Jefferson,MIN,WR,103,1533,10,99.8,96.1,9.5,1453,85.5,14,153,24,17,6.6,29.9,2.1
3,24933,Brian Thomas Jr.,JAX,WR,87,1282,10,86.8,79.9,11.6,1542,90.7,18,133,16,13,6.3,25.5,2.1
4,23151,Drake London,ATL,WR,100,1271,9,87.6,90.9,10.8,1699,99.9,17,157,25,18,6.6,29.1,1.8
5,22587,Amon-Ra St. Brown,DET,WR,115,1263,12,90.4,89.1,7.7,1100,64.7,10,142,32,10,7.4,27.3,2.2
6,21692,Jerry Jeudy,CLE,WR,90,1229,4,96.3,94.2,11.0,1587,93.3,18,144,13,10,6.3,22.8,1.7
7,24953,Malik Nabers,NYG,WR,109,1204,7,97.5,91.8,9.5,1618,107.9,15,170,15,11,6.9,34.9,1.6
8,21679,CeeDee Lamb,DAL,WR,101,1194,6,84.3,81.1,7.8,1190,79.3,12,152,16,13,6.1,27.3,1.7
9,25097,Ladd McConkey,LAC,WR,82,1149,7,86.2,74.2,9.9,1105,69.1,13,112,9,8,6.9,24.5,2.1
10,23157,Jaxon Smith-Njigba,SEA,WR,100,1130,6,95.4,87.2,8.7,1186,69.8,12,137,13,11,6.6,24.1,1.8
11,23122,Garrett Wilson,NYJ,WR,101,1104,7,99.7,96.5,7.9,1211,71.2,12,153,23,11,6.5,26.0,1.6
12,20873,Terry McLaurin,WAS,WR,82,1096,13,89.6,83.7,13.3,1561,91.8,19,117,15,16,6.3,23.3,2.3
13,19800,Courtland Sutton,DEN,WR,81,1081,8,94.8,86.3,13.2,1787,105.1,22,135,22,17,6.6,25.1,1.8
14,21042,A.J. Brown,PHI,WR,67,1079,7,100.0,87.9,12.0,1168,89.8,17,97,10,12,6.3,34.4,2.2
15,16470,Davante Adams,NYJ,WR,85,1063,8,96.2,92.0,8.3,1167,83.3,14,141,25,16,6.1,29.5,1.7
16,23120,Zay Flowers,BAL,WR,74,1059,4,90.4,76.2,10.4,1207,71.0,16,116,8,9,6.0,25.7,1.8
17,20876,Jakobi Meyers,LV,WR,87,1027,4,94.5,92.8,9.9,1281,85.4,15,129,15,10,6.4,24.9,1.7
18,19802,Calvin Ridley,TEN,WR,64,1017,4,92.3,81.5,15.7,1883,110.8,29,120,8,3,5.9,23.7,1.7
19,21756,Nico Collins,HOU,WR,68,1006,7,76.4,67.6,10.9,1083,90.2,16,99,13,11,6.5,24.8,2.1
20,16597,Mike Evans,TB,WR,74,1004,11,82.7,71.2,11.6,1274,91.0,17,110,15,18,6.4,24.1,2.2
21,23234,Jameson Williams,DET,WR,58,1001,7,85.8,80.3,11.4,1037,69.1,18,91,11,6,6.6,18.9,2.3
22,21961,Darnell Mooney,ATL,WR,64,992,5,91.1,92.4,12.4,1323,82.7,21,107,6,1,6.3,21.3,1.8
23,20875,DK Metcalf,SEA,WR,66,992,5,94.3,86.8,13.7,1475,98.3,22,108,9,9,6.5,21.2,1.8
24,24172,Puka Nacua,LAR,WR,79,990,3,63.8,62.0,7.2,766,69.6,10,106,13,5,6.3,29.9,1.9
25,21717,Jauan Jennings,SF,WR,77,975,6,78.2,72.8,9.9,1119,74.6,15,113,15,10,6.1,26.3,1.9
26,19844,DJ Moore,CHI,WR,98,966,6,100.0,94.8,7.5,1049,61.7,11,140,21,7,5.9,26.6,1.7
27,18082,Tyreek Hill,MIA,WR,81,959,6,78.9,82.0,11.2,1369,80.5,17,122,18,14,6.2,21.9,1.8
28,21690,Tee Higgins,CIN,WR,73,911,10,89.4,79.3,9.8,1067,88.9,15,109,24,14,6.2,24.9,2.0
29,23153,George Pickens,PIT,WR,59,900,3,91.1,81.1,13.6,1401,100.1,24,103,16,12,6.3,26.5,1.6
30,24974,Marvin Harrison Jr.,ARI,WR,62,885,8,91.8,79.5,13.5,1566,92.1,25,116,14,18,5.8,22.2,1.7
31,23162,Jordan Addison,MIN,WR,63,875,9,92.0,84.3,11.4,1131,75.4,18,99,18,12,6.2,21.4,2.1
32,23233,Jayden Reed,GB,WR,55,857,6,72.7,63.7,9.1,680,40.0,12,75,11,3,6.5,16.2,2.6
33,21687,DeVonta Smith,PHI,WR,68,833,8,100.0,89.7,9.1,809,62.2,12,89,11,9,6.6,28.6,2.2
34,23232,Alec Pierce,IND,WR,37,824,7,82.4,80.3,21.6,1494,93.4,40,69,6,8,5.7,14.3,2.3
35,23227,Khalil Shakir,BUF,WR,76,821,4,74.9,61.2,5.5,548,36.5,7,100,10,3,6.4,23.0,1.8
36,21744,Michael Pittman Jr.,IND,WR,69,808,3,93.7,89.1,11.1,1234,77.1,18,111,13,6,6.0,24.3,1.5
37,24145,Josh Downs,IND,WR,72,803,5,77.8,65.9,6.8,734,52.4,10,107,14,5,6.4,25.6,1.7
38,22623,Rashod Bateman,BAL,WR,45,756,9,83.2,70.0,13.5,973,57.2,22,72,8,9,6.4,15.9,2.4
39,22598,Jaylen Waddle,MIA,WR,58,744,2,78.6,81.0,10.0,827,55.1,14,83,10,3,6.5,16.6,1.8
40,24977,Rome Odunze,CHI,WR,54,734,3,87.2,84.5,13.8,1398,82.2,26,101,18,16,5.5,19.2,1.4
41,15076,Keenan Allen,CHI,WR,67,719,7,93.0,87.8,9.2,1091,77.9,16,118,15,14,5.9,28.0,1.5
42,24226,Quentin Johnston,LAC,WR,55,711,8,77.3,71.6,10.8,986,65.7,18,91,12,10,6.4,21.7,1.9
43,18882,Cooper Kupp,LAR,WR,67,710,6,81.8,86.3,7.6,758,63.2,11,100,10,9,6.6,26.2,1.8
44,23170,Wan'Dale Robinson,NYG,WR,93,699,3,87.3,77.0,4.8,674,39.6,7,140,18,4,6.8,25.3,1.3
45,19961,Ray-Ray McCloud III,ATL,WR,62,686,1,87.0,86.6,6.8,589,34.6,10,87,6,2,6.7,16.1,1.6
46,20932,Deebo Samuel Sr.,SF,WR,51,670,3,79.1,73.4,6.8,551,36.7,11,81,14,2,6.3,19.6,1.9
47,24176,Tank Dell,HOU,WR,51,667,3,81.2,69.0,12.5,1016,72.6,20,81,9,8,6.5,18.1,1.7
48,24924,Xavier Worthy,KC,WR,59,638,6,75.2,67.2,9.2,904,53.2,15,98,18,8,6.4,17.2,1.9
49,24180,DeMario Douglas,NE,WR,67,621,3,75.9,63.4,5.8,515,30.3,8,88,6,4,6.6,17.6,1.7
50,23395,Christian Watson,GB,WR,29,620,2,55.5,57.8,17.8,944,62.9,33,53,8,6,5.4,12.9,2.0
51,15534,Adam Thielen,CAR,WR,48,615,5,65.9,54.9,8.5,526,52.6,11,62,8,5,6.8,20.2,2.2
52,22597,Jalen Tolbert,DAL,WR,49,610,7,75.6,77.0,11.5,906,53.3,18,79,13,10,6.1,12.8,1.9
53,14986,DeAndre Hopkins,KC,WR,56,610,5,55.8,49.7,11.2,896,56.0,16,80,11,9,6.4,14.5,1.8
54,23167,Romeo Doubs,GB,WR,46,601,4,83.1,78.2,12.3,886,68.2,19,72,10,5,6.2,19.7,1.8
55,23121,Kayshon Boutte,NE,WR,43,589,3,85.6,79.6,14.9,1011,67.4,24,68,4,2,5.9,15.0,1.8
56,22613,Joshua Palmer,LAC,WR,39,584,1,74.1,66.2,15.2,991,66.1,25,65,7,5,6.6,15.0,1.6
57,18880,Chris Godwin,TB,WR,50,576,5,96.5,88.0,5.7,356,50.9,7,62,7,2,7.6,26.6,2.2
58,20943,Darius Slayton,NYG,WR,39,573,2,85.8,83.4,13.1,928,58.0,24,71,4,6,6.7,13.6,1.5
59,16830,Tyler Lockett,SEA,WR,47,572,2,85.4,71.5,10.1,706,44.1,15,70,9,8,6.1,12.9,1.7
60,22602,Tutu Atwell,LAR,WR,42,562,0,43.2,39.9,11.9,741,43.6,18,62,3,0,6.9,11.5,1.6
61,24964,Keon Coleman,BUF,WR,29,556,4,77.0,74.9,15.2,864,66.5,30,57,10,8,6.6,15.5,1.9
62,24173,Michael Wilson,ARI,WR,47,548,4,91.1,81.0,11.4,811,50.7,17,71,8,7,6.0,14.5,1.8
63,22566,Calvin Austin III,PIT,WR,36,548,4,67.3,53.1,12.4,718,42.2,20,58,5,5,6.2,12.6,2.0
64,16765,Amari Cooper,BUF,WR,44,547,4,76.0,65.8,13.7,1161,82.9,26,85,5,5,5.8,18.4,1.4
65,24177,Tre Tucker,LV,WR,47,539,3,90.3,88.4,12.6,1017,59.8,22,81,5,3,6.1,13.7,1.6
66,20145,Allen Lazard,NYJ,WR,37,530,6,87.9,84.5,9.3,565,47.1,15,61,12,3,6.9,14.1,2.1
67,21142,Olamide Zaccheaus,WAS,WR,45,506,3,45.6,44.1,6.3,406,23.9,9,64,8,3,6.5,12.7,1.8
68,18047,Demarcus Robinson,LAR,WR,31,505,7,84.7,83.7,15.3,983,57.8,32,64,12,12,6.1,11.8,1.9
69,23165,Marvin Mims Jr.,DEN,WR,39,503,6,29.7,26.6,7.4,384,22.6,10,52,5,3,7.1,9.7,2.5
