rank,id,player,team,opp,pos,opp_rank,opp_pos_rank,salary_draftkings,fpts_draftkings
1,22495,Zach Wilson,MIA,CHI,QB,16,1,5500,26.2
2,23481,Velus Jones Jr.,NO,LAC,RB,2,3,5500,23.2
3,25353,Jack Plummer,CAR,CLE,QB,23,27,5500,20.9
4,25687,Bryce Oliver,TEN,TB,WR,22,22,5500,20.2
5,25100,Frank Gore Jr.,BUF,NYG,RB,20,25,5500,20.1
6,18912,Evan Engram,DEN,SF,TE,18,7,5500,18.8
7,24220,Tyler Scott,CHI,MIA,WR,7,3,5500,17.6
8,24984,Jamari Thrash,CLE,CAR,WR,32,23,5500,17.3
9,22645,Simi Fehoko,ARI,KC,WR,5,16,5500,16.5
10,24956,J.J. McCarthy,MIN,HOU,QB,15,18,5500,16.3
11,23763,Brandon Johnson,PIT,JAX,WR,31,30,5500,16.3
12,25079,Kimani Vidal,LAC,NO,RB,26,26,5500,16.0
13,24178,Israel Abanikanda,GB,NYJ,RB,10,13,5500,15.9
14,23477,Skylar Thompson,PIT,JAX,QB,31,29,5500,15.6
15,23158,Jermaine Burton,CIN,PHI,WR,1,6,5500,15.6
16,25529,Hayden Rucci,MIA,CHI,TE,16,22,5500,15.4
17,22555,Jermar Jefferson,TEN,TB,RB,22,5,5500,14.9
18,25122,Jalen Coker,CAR,CLE,WR,23,31,5500,14.5
19,25113,Will Reichard,MIN,HOU,K,15,15,7600,14.0
20,24362,Malik Heath,GB,NYJ,WR,10,7,5500,13.9
21,22494,Kyle Trask,TB,TEN,QB,13,17,5500,13.7
22,21723,James Proche II,TEN,TB,WR,22,22,5500,13.6
23,22493,Trey Lance,LAC,NO,QB,26,10,5500,13.6
24,20283,Tim Boyle,TEN,TB,QB,22,28,5500,13.4
25,21845,Darrynton Evans,BUF,NYG,RB,20,25,5500,13.3
26,22533,Demetric Felton,WAS,NE,RB,21,30,5500,13.2
27,17215,Jason Myers,SEA,LV,K,27,31,7600,13.0
28,20398,Equanimeous St. Brown,SF,DEN,WR,4,5,5500,13.0
29,23118,Malik Willis,GB,NYJ,QB,10,14,5500,12.9
30,22685,Terrace Marshall Jr.,PHI,CIN,WR,24,10,5500,12.9
31,24981,Jacob Cowing,SF,DEN,WR,4,5,5500,12.9
32,22490,Trevor Lawrence,JAX,PIT,QB,6,6,5500,12.6
33,22417,Kristian Wilkerson,BUF,NYG,WR,20,17,5500,12.5
34,20912,Tony Pollard,TEN,TB,RB,22,5,5500,12.4
35,25124,Ryan Flournoy,DAL,LAR,WR,25,21,5500,12.4
36,26059,Keandre Lambert-Smith,LAC,NO,WR,26,26,5500,12.3
37,21759,KJ Hamler,BUF,NYG,WR,20,17,5500,12.2
38,20953,Easton Stick,ATL,DET,QB,9,22,5500,12.2
39,23364,Jordan Mason,MIN,HOU,RB,15,6,5500,11.9
40,21564,Craig Reynolds,DET,ATL,RB,29,9,5500,11.8
41,22604,Tylan Wallace,BAL,IND,WR,28,20,5500,11.8
42,23196,George Holani,SEA,LV,RB,27,18,5500,11.7
43,24923,Jaylen Wright,MIA,CHI,RB,16,29,5500,11.7
44,25498,Ramel Keyton,TEN,TB,WR,22,22,5500,11.6
45,24939,Carson Steele,KC,ARI,RB,17,24,5500,11.0
46,22569,Dee Eskridge,MIA,CHI,WR,16,2,5500,10.9
47,22600,Johnny Johnson III,HOU,MIN,WR,8,32,5500,10.8
48,24958,Drake Maye,NE,WAS,QB,14,7,5500,10.7
49,24755,Elijah Cooks,PHI,CIN,WR,24,10,5500,10.3
50,23217,Rachaad White,TB,TEN,RB,13,28,5500,10.3
51,24971,Audric Estime,DEN,SF,RB,18,27,5500,10.2
52,21688,Cam Akers,NO,LAC,RB,2,3,5500,10.2
53,24686,Nate Adkins,DEN,SF,TE,18,7,5500,10.0
54,23567,Cameron Dicker,LAC,NO,K,26,21,7600,10.0
55,24073,Maurice Alexander,CHI,MIA,WR,7,3,5500,10.0
56,16301,Cairo Santos,CHI,MIA,K,7,28,7600,10.0
57,24309,Emanuel Wilson,GB,NYJ,RB,10,13,5500,9.8
58,24954,Adonai Mitchell,IND,BAL,WR,19,28,5500,9.8
59,23301,Jashaun Corbin,ATL,DET,RB,9,7,5500,9.7
60,23144,Ainias Smith,PHI,CIN,WR,24,10,5500,9.6
61,25043,Jason Bean,IND,BAL,QB,19,24,5500,9.6
62,21725,Trishton Jackson,ARI,KC,WR,5,16,5500,9.5
63,23186,Spencer Rattler,NO,LAC,QB,2,12,5500,9.5
64,19950,Will Dissly,LAC,NO,TE,26,12,5500,9.4
65,22496,Mac Jones,SF,DEN,QB,4,9,5500,9.3
