rank,id,player,roster_slots,pos_slate,team,opp,opp_rank,opp_pos_rank,own_pct,fpts_draftkings,fpts_per_salary,salary
1,23199,Sincere McCormick,RB/FLEX,RB,LV,SEA,11,16,,5.2,0.9,5500
2,23341,Tyler Goodson,RB/FLEX,RB,IND,BAL,19,4,,8.7,1.6,5500
3,23144,Ainias Smith,WR/FLEX,WR,PHI,CIN,24,10,,9.6,1.7,5500
4,19864,Anthony Miller,WR/FLEX,WR,BAL,IND,28,20,,1.9,0.3,5500
5,21349,Ashton Dulin,WR/FLEX,WR,IND,BAL,19,28,,2.1,0.4,5500
6,23143,Will Mallory,TE/FLEX,TE,IND,BAL,19,23,,1.6,0.3,5500
7,24800,E.J. Jenkins,TE/FLEX,TE,PHI,CIN,24,32,,4.5,0.8,5500
8,25126,Anthony Gould,WR/FLEX,WR,IND,BAL,19,28,,6.5,1.2,5500
9,23213,Kendall Milton,RB/FLEX,RB,CIN,PHI,1,1,,4.6,0.8,5500
10,24755,Elijah Cooks,WR/FLEX,WR,PHI,CIN,24,10,,10.3,1.9,5500
11,25504,Cole Burgess,WR/FLEX,WR,CIN,PHI,1,6,,1.1,0.2,5500
12,25311,John Rhys Plumlee,WR/FLEX,WR,SEA,LV,27,11,,1.7,0.3,5500
13,25455,Dayton Wade,WR/FLEX,WR,BAL,IND,28,20,,1.5,0.3,5500
14,23158,Jermaine Burton,WR/FLEX,WR,CIN,PHI,1,6,,15.6,2.8,5500
15,22685,Terrace Marshall Jr.,WR/FLEX,WR,PHI,CIN,24,10,,12.9,2.3,5500
16,24749,Shedrick Jackson,WR/FLEX,WR,LV,SEA,11,19,,1.8,0.3,5500
17,21682,Jonathan Taylor,RB/FLEX,RB,IND,BAL,19,4,,3.3,0.6,5500
18,24122,Charlie Jones,WR/FLEX,WR,CIN,PHI,1,6,,1.3,0.2,5500
19,24978,Devontez Walker,WR/FLEX,WR,BAL,IND,28,20,,1.4,0.3,5500
20,25050,Chris Collier,RB/FLEX,RB,LV,SEA,11,16,,4.2,0.8,5500
21,24421,Cameron Latu,TE/FLEX,TE,PHI,CIN,24,32,,7.2,1.3,5500
22,25043,Jason Bean,QB,QB,IND,BAL,19,24,,9.6,1.7,5500
23,14895,Geno Smith,QB,QB,LV,SEA,11,13,,6.5,1.2,5500
24,22604,Tylan Wallace,WR/FLEX,WR,BAL,IND,28,20,,11.8,2.1,5500
25,22823,Kylen Granson,TE/FLEX,TE,PHI,CIN,24,32,,3.7,0.7,5500
26,25513,Cam Grandy,TE/FLEX,TE,CIN,PHI,1,4,,3.9,0.7,5500
27,24342,Mitchell Tinsley,WR/FLEX,WR,CIN,PHI,1,6,,7.7,1.4,5500
28,23720,Zaire Mitchell-Paden,TE/FLEX,TE,BAL,IND,28,30,,1.3,0.2,5500
29,24221,Justin Shorter,TE/FLEX,TE,LV,SEA,11,13,,3.5,0.6,5500
30,24117,Anthony Richardson Sr.,QB,QB,IND,BAL,19,24,,6.7,1.2,5500
31,23157,Jaxon Smith-Njigba,WR/FLEX,WR,SEA,LV,27,11,,5.2,0.9,5500
32,22502,Desmond Ridder,QB,QB,CIN,PHI,1,5,,6.9,1.3,5500
33,25711,Qadir Ismail,TE/FLEX,TE,LV,SEA,11,13,,1.5,0.3,5500
34,24124,Tanner McKee,QB,QB,PHI,CIN,24,26,,3.1,0.6,5500
35,23230,Dorian Thompson-Robinson,QB,QB,PHI,CIN,24,26,,8.6,1.6,5500
36,23232,Alec Pierce,WR/FLEX,WR,IND,BAL,19,28,,5.1,0.9,5500
37,24279,Malik Cunningham,WR/FLEX,WR,BAL,IND,28,20,,1.6,0.3,5500
38,25054,Dylan Laube,RB/FLEX,RB,LV,SEA,11,16,,1.8,0.3,5500
39,21744,Michael Pittman Jr.,WR/FLEX,WR,IND,BAL,19,28,,2.2,0.4,5500
40,24954,Adonai Mitchell,WR/FLEX,WR,IND,BAL,19,28,,9.8,1.8,5500
41,23135,Charlie Kolar,TE/FLEX,TE,BAL,IND,28,30,,3.4,0.6,5500
42,24339,Jake Bobo,WR/FLEX,WR,SEA,LV,27,11,,1.5,0.3,5500
43,21964,Cody White,WR/FLEX,WR,SEA,LV,27,11,,2.1,0.4,5500
44,21294,Alex Bachman,WR/FLEX,WR,LV,SEA,11,19,,1.7,0.3,5500
45,23196,George Holani,RB/FLEX,RB,SEA,LV,27,18,,11.7,2.1,5500
46,25205,Isaiah Williams,WR/FLEX,WR,CIN,PHI,1,6,,2.7,0.5,5500
47,21400,Steven Sims,WR/FLEX,WR,SEA,LV,27,11,,5.7,1.0,5500
48,22672,Gary Brightwell,RB/FLEX,RB,CIN,PHI,1,1,,7.3,1.3,5500
49,25111,Devin Leary,QB,QB,BAL,IND,28,21,,-0.9,-0.2,5500
50,17914,Laquon Treadwell,WR/FLEX,WR,IND,BAL,19,28,,5.3,1.0,5500
51,21781,Sean McKeon,TE/FLEX,TE,IND,BAL,19,23,,2.4,0.4,5500
52,CIN,Cincinnati Bengals,DST,DST,CIN,PHI,15,15,,9.0,1.6,5500
53,PHI,Philadelphia Eagles,DST,DST,PHI,CIN,11,11,,4.0,0.7,5500
54,IND,Indianapolis Colts,DST,DST,IND,BAL,17,17,,8.0,1.5,5500
55,BAL,Baltimore Ravens,DST,DST,BAL,IND,2,2,,2.0,0.4,5500
56,LV,Las Vegas Raiders,DST,DST,LV,SEA,8,8,,13.0,2.4,5500
57,SEA,Seattle Seahawks,DST,DST,SEA,LV,8,8,,9.0,1.6,5500
