rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,19781,Lamar Jackson,BAL,QB,17,4172,41,4,915,4,0,0,0,0,0,0,0,25.3,430.4
2,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,32,0,127,1708,17,0,0,0,0,23.7,403.0
3,19801,Josh Allen,BUF,QB,17,3731,28,6,531,12,0,7,1,0,0,0,0,22.3,379.0
4,21693,Joe Burrow,CIN,QB,17,4918,43,9,201,2,0,0,0,0,0,0,0,21.9,372.8
5,19790,Baker Mayfield,TB,QB,17,4500,41,16,378,3,0,0,0,0,0,0,0,21.5,365.8
6,23200,Jahmyr Gibbs,DET,RB,17,0,0,0,1412,16,52,517,4,0,0,0,0,21.3,362.9
7,23235,Jayden Daniels,WAS,QB,17,3568,25,9,891,6,0,0,0,0,0,0,0,20.9,355.8
8,19766,Saquon Barkley,PHI,RB,16,0,0,0,2005,13,33,278,2,0,0,0,0,22.2,355.3
9,23189,Bijan Robinson,ATL,RB,17,0,0,0,1456,14,61,431,1,0,0,0,0,20.1,341.7
10,17959,Derrick Henry,BAL,RB,17,0,0,0,1921,16,19,193,2,0,0,0,0,19.8,336.4
11,17922,Jared Goff,DET,QB,17,4629,37,12,56,0,1,7,1,0,0,0,0,19.1,324.5
12,21685,Justin Jefferson,MIN,WR,17,22,0,0,3,0,103,1533,10,0,0,0,0,18.7,317.5
13,25069,Bo Nix,DEN,QB,17,3775,29,12,430,4,1,2,1,0,0,0,0,18.7,317.2
14,22587,Amon-Ra St. Brown,DET,WR,17,7,1,0,6,0,115,1263,12,0,0,0,0,18.6,316.2
15,21831,Jalen Hurts,PHI,QB,15,2903,18,5,630,14,0,0,0,0,0,0,0,21.0,315.1
16,19812,Sam Darnold,MIN,QB,17,4319,35,12,212,1,0,0,0,0,0,0,0,18.1,308.0
17,24179,De'Von Achane,MIA,RB,17,0,0,0,907,6,78,592,6,0,0,0,0,17.6,299.9
