rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
1,23235,Jayden Daniels,WAS,QB,17,862,10,2,234,2,0,0,0,0,0,0,0,6.2,105.9
2,21693,Joe Burrow,CIN,QB,17,1126,13,2,127,1,0,0,0,0,0,0,0,6.2,105.7
3,19781,Lamar Jackson,BAL,QB,17,977,11,0,196,0,0,0,0,0,0,0,0,6.0,102.7
4,22587,Amon-Ra St. Brown,DET,WR,17,0,0,0,0,0,31,412,5,0,0,0,0,6.0,102.2
5,19790,Baker Mayfield,TB,QB,17,1171,12,6,190,0,0,0,0,0,0,0,0,5.9,99.8
6,18890,Patrick Mahomes,KC,QB,16,1066,11,1,133,0,1,2,0,0,0,0,0,6.2,99.1
7,25069,Bo Nix,DEN,QB,17,1168,9,5,131,2,0,0,0,0,0,0,0,5.8,97.8
8,19801,Josh Allen,BUF,QB,17,950,10,2,130,1,0,0,0,0,0,0,0,5.5,93.0
9,19800,Courtland Sutton,DEN,WR,17,0,0,0,0,0,31,452,3,0,0,0,0,5.4,92.2
10,17922,Jared Goff,DET,QB,17,1035,12,0,22,0,0,0,0,0,0,0,0,5.4,91.6
11,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,21,353,5,0,0,0,0,5.1,86.3
12,21685,Justin Jefferson,MIN,WR,17,22,0,0,0,0,20,348,5,0,0,0,0,5.0,85.7
13,24953,Malik Nabers,NYG,WR,15,0,0,0,0,0,24,342,4,0,0,0,0,5.5,82.2
14,19063,George Kittle,SF,TE,15,0,0,0,0,0,22,253,5,0,0,0,0,5.2,77.3
15,19812,Sam Darnold,MIN,QB,17,1016,9,3,66,0,0,0,0,0,0,0,0,4.5,77.2
16,23170,Wan'Dale Robinson,NYG,WR,17,0,0,0,0,0,34,304,2,0,0,0,0,4.5,76.4
17,21831,Jalen Hurts,PHI,QB,15,778,5,3,222,2,0,0,0,0,0,0,0,5.0,75.3
18,20889,Kyler Murray,ARI,QB,17,741,5,2,171,2,0,0,0,0,0,0,0,4.4,74.7
19,21756,Nico Collins,HOU,WR,12,0,0,0,0,0,21,297,4,0,0,0,0,6.2,74.7
20,24933,Brian Thomas Jr.,JAX,WR,17,0,0,0,0,0,16,285,5,0,0,0,0,4.4,74.5
21,23241,Brock Purdy,SF,QB,15,886,8,2,80,1,0,0,0,0,0,0,0,4.9,73.4
22,21690,Tee Higgins,CIN,WR,12,0,0,0,0,0,20,312,4,0,0,0,0,6.1,73.2
23,23234,Jameson Williams,DET,WR,15,0,0,0,3,1,14,280,4,0,0,0,0,4.8,72.3
24,24226,Quentin Johnston,LAC,WR,15,0,0,0,0,0,17,242,5,0,0,0,0,4.7,71.2
25,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,25,296,3,0,0,0,0,4.2,70.6
26,21681,Justin Herbert,LAC,QB,17,870,8,0,56,0,0,0,0,0,0,0,0,4.1,70.4
27,23151,Drake London,ATL,WR,17,0,0,0,-3,0,21,256,4,0,0,0,0,4.1,70.3
28,23239,C.J. Stroud,HOU,QB,17,1085,7,4,63,0,0,0,0,0,0,0,0,4.1,69.7
29,23227,Khalil Shakir,BUF,WR,15,0,0,0,0,0,22,348,2,0,0,0,0,4.6,68.8
30,21717,Jauan Jennings,SF,WR,15,0,0,0,0,0,25,256,3,0,0,0,0,4.6,68.6
31,24943,Brock Bowers,LV,TE,17,0,0,0,2,0,25,302,2,0,0,0,0,4.0,67.4
32,21841,Jordan Love,GB,QB,15,659,11,4,32,0,0,0,0,0,0,0,0,4.4,65.6
33,2593,Aaron Rodgers,NYJ,QB,17,1183,7,6,38,0,0,0,0,0,0,0,0,3.8,65.1
34,21042,A.J. Brown,PHI,WR,13,0,0,0,0,0,18,273,3,0,0,0,0,4.9,63.3
35,23157,Jaxon Smith-Njigba,SEA,WR,17,0,0,0,4,0,26,307,1,0,0,0,0,3.7,63.1
36,24927,Caleb Williams,CHI,QB,17,835,5,2,169,0,0,0,0,0,0,0,0,3.7,62.3
37,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,11,209,5,0,0,0,0,3.6,61.9
38,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,17,252,3,0,0,0,0,4.6,60.2
39,23132,Bryce Young,CAR,QB,14,628,4,4,87,3,0,0,0,0,0,0,0,4.3,59.8
40,14536,Russell Wilson,PIT,QB,11,842,6,3,79,0,0,0,0,0,0,0,0,5.4,59.6
41,19766,Saquon Barkley,PHI,RB,16,0,0,0,210,3,8,125,0,0,0,0,0,3.7,59.5
42,22564,Ja'Marr Chase,CIN,WR,17,0,0,0,0,0,21,257,2,0,0,0,0,3.5,58.7
43,23233,Jayden Reed,GB,WR,17,0,0,0,0,0,13,213,4,0,0,0,0,3.4,58.3
44,24145,Josh Downs,IND,WR,14,0,0,0,0,0,20,260,2,0,0,0,0,4.1,58.0
45,23200,Jahmyr Gibbs,DET,RB,17,0,0,0,154,4,10,74,0,0,0,0,0,3.3,56.8
46,21961,Darnell Mooney,ATL,WR,16,0,0,0,0,0,17,275,2,0,0,0,0,3.5,56.5
47,25097,Ladd McConkey,LAC,WR,16,0,0,0,0,0,21,235,2,0,0,0,0,3.5,56.5
48,15048,Travis Kelce,KC,TE,16,0,0,0,0,0,25,254,1,0,0,0,0,3.5,56.4
49,23165,Marvin Mims Jr.,DEN,WR,17,0,0,0,0,0,14,244,3,0,0,0,0,3.3,56.4
50,19803,Mark Andrews,BAL,TE,17,0,0,0,1,0,15,168,4,0,0,0,0,3.3,55.9
51,22507,Pat Freiermuth,PIT,TE,17,0,0,0,0,0,18,212,3,0,0,0,0,3.2,55.2
52,19802,Calvin Ridley,TEN,WR,17,0,0,0,0,0,16,330,1,0,0,0,0,3.2,55.0
53,19844,DJ Moore,CHI,WR,17,0,0,0,0,0,21,218,2,0,0,0,0,3.2,54.8
54,16470,Davante Adams,NYJ,WR,14,0,0,0,0,0,17,315,1,0,0,0,0,3.9,54.5
55,14895,Geno Smith,SEA,QB,17,1012,5,7,72,0,0,0,0,0,0,0,0,3.2,53.7
56,20875,DK Metcalf,SEA,WR,15,0,0,0,0,0,16,251,2,0,0,0,0,3.5,53.1
57,21679,CeeDee Lamb,DAL,WR,15,0,0,0,0,0,20,261,1,0,0,0,0,3.5,52.1
58,23153,George Pickens,PIT,WR,14,0,0,0,0,0,22,295,0,0,0,0,0,3.7,51.5
59,18082,Tyreek Hill,MIA,WR,17,0,0,0,0,0,18,214,2,0,0,0,0,3.0,51.4
60,20876,Jakobi Meyers,LV,WR,15,0,0,0,20,0,22,273,0,0,0,0,0,3.4,51.3
61,25098,Jalen McMillan,TB,WR,13,0,0,0,9,0,10,163,4,0,0,0,0,3.9,51.2
62,17975,Hunter Henry,NE,TE,16,0,0,0,0,0,21,242,1,0,0,0,0,3.2,51.2
