rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,19781,Lamar Jackson,BAL,QB,17,3835.7,31.0,7.7,871.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,366.0
2,19801,Josh Allen,BUF,QB,17,3954.1,29.0,10.7,557.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,360.3
3,23235,Jayden Daniels,WAS,QB,17,3917.2,27.5,10.4,801.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,354.1
4,21831,Jalen Hurts,PHI,QB,17,3542.8,23.5,9.9,649.3,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,351.4
5,21693,Joe Burrow,CIN,QB,17,4620.7,36.0,10.3,185.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,333.2
6,22564,Ja'Marr Chase,CIN,WR,17,0.0,0.0,0.0,11.2,0.0,116.5,1512.1,10.6,0.0,0.0,0.0,0.0,19.5,331.4
7,23189,Bijan Robinson,ATL,RB,17,0.0,0.0,0.0,1350.7,11.5,55.0,418.4,2.4,0.0,0.0,0.0,0.0,18.4,312.3
8,19766,Saquon Barkley,PHI,RB,17,0.0,0.0,0.0,1660.9,10.7,38.2,288.8,2.7,0.0,0.0,0.0,0.0,18.3,310.6
9,18890,Patrick Mahomes,KC,QB,17,4244.9,30.8,12.2,323.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,309.8
10,19790,Baker Mayfield,TB,QB,17,4184.3,32.5,14.4,283.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,304.5
11,23200,Jahmyr Gibbs,DET,RB,17,0.0,0.0,0.0,1203.1,11.4,52.8,472.2,2.7,0.0,0.0,0.0,0.0,17.8,302.3
12,21685,Justin Jefferson,MIN,WR,17,0.0,0.0,0.0,4.1,0.0,104.6,1482.7,8.3,0.0,0.0,0.0,0.0,17.8,302.1
13,25069,Bo Nix,DEN,QB,17,3843.7,27.8,11.3,399.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,300.1
14,20889,Kyler Murray,ARI,QB,17,3836.5,22.8,11.3,544.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,298.1
15,21679,CeeDee Lamb,DAL,WR,17,0.0,0.0,0.0,70.0,0.4,111.3,1371.4,7.0,0.0,0.0,0.0,0.0,17.5,297.8
16,22492,Justin Fields,NYJ,QB,17,3212.0,19.1,10.7,786.8,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,295.2
17,24172,Puka Nacua,LAR,WR,17,0.0,0.0,0.0,70.9,0.9,106.7,1399.5,5.4,0.0,0.0,0.0,0.0,17.1,290.5
