rank,id,player,team,pos,gp,snaps,snaps_per_gp,snap_pct,rush_per_snap,rush_share,tgt_per_snap,tgt_share,touch_per_snap,util_per_snap,fpts_ppr,fpts_ppr_per_snap
1,20882,David Montgomery,DET,RB,14,390,27.9,34.0,47.4,34.6,9.7,7.3,56.9,57.4,221.7,56.9
2,23200,Jahmyr Gibbs,DET,RB,17,639,37.6,55.8,39.1,46.8,9.9,12.1,47.3,49.0,362.9,56.8
3,23247,James Cook,BUF,RB,16,485,30.3,44.6,42.7,42.2,7.8,7.1,49.3,50.5,266.7,55.0
4,17959,Derrick Henry,BAL,RB,17,635,37.4,57.2,51.2,58.6,3.5,4.9,54.2,54.6,336.4,53.0
5,24967,Bucky Irving,TB,RB,17,516,30.4,45.2,40.1,42.9,10.1,9.2,49.2,50.2,244.4,47.4
6,16763,Marcus Mariota,WAS,QB,3,100,33.3,11.1,18.0,3.4,0.0,0.0,62.0,62.0,45.8,45.8
7,19238,Taysom Hill,NO,QB,8,225,28.1,28.7,17.3,8.8,13.8,5.9,29.3,32.9,102.3,45.5
8,19766,Saquon Barkley,PHI,RB,16,801,50.1,69.2,43.1,55.6,5.4,10.4,47.2,48.4,355.3,44.4
9,20824,Josh Jacobs,GB,RB,17,678,39.9,62.5,44.4,57.2,6.3,9.3,49.7,50.7,293.1,43.2
10,18858,Joe Mixon,HOU,RB,14,557,39.8,50.3,44.0,62.0,9.3,8.6,50.6,53.5,240.5,43.2
11,24179,De'Von Achane,MIA,RB,17,704,41.4,61.9,28.8,45.5,12.4,15.2,39.9,41.2,299.9,42.6
12,24172,Puka Nacua,LAR,WR,11,487,44.3,62.0,2.3,2.4,21.8,19.6,18.5,24.0,206.6,42.4
13,21756,Nico Collins,HOU,WR,12,502,41.8,60.7,0.0,0.0,19.7,16.4,13.5,19.7,210.6,42.0
14,24120,Rashee Rice,KC,WR,4,155,38.8,60.8,0.6,0.2,18.7,4.9,16.1,19.4,64.9,41.9
15,18878,Alvin Kamara,NO,RB,14,641,45.8,58.9,35.6,51.4,13.9,16.9,46.2,49.5,265.3,41.4
16,18983,James Conner,ARI,RB,16,619,38.7,60.0,38.1,51.0,8.9,10.5,45.7,47.0,253.8,41.0
17,21045,Marquise Brown,KC,WR,2,45,22.5,20.1,0.0,0.0,33.3,2.5,20.0,33.3,18.1,40.2
18,19781,Lamar Jackson,BAL,QB,17,1074,63.2,96.8,12.9,25.0,0.0,0.0,57.1,57.1,430.4,40.1
19,23189,Bijan Robinson,ATL,RB,17,861,50.6,75.3,35.3,61.4,8.4,13.4,42.4,43.7,341.7,39.7
20,19801,Josh Allen,BUF,QB,17,968,56.9,89.0,10.5,20.8,0.0,0.0,60.4,60.4,379.0,39.2
21,23214,Kenneth Walker III,SEA,RB,11,469,42.6,47.2,32.6,40.1,11.3,9.4,42.4,43.9,181.2,38.6
22,22564,Ja'Marr Chase,CIN,WR,17,1054,62.0,92.7,0.3,0.8,16.6,27.6,12.3,16.9,403.0,38.2
23,19025,Joshua Dobbs,SF,QB,2,81,40.5,7.5,11.1,2.0,0.0,0.0,69.1,69.1,30.8,38.1
24,24374,Chase Brown,CIN,RB,16,687,42.9,60.4,33.3,59.0,9.5,10.3,41.2,42.8,255.0,37.1
25,23193,Tank Bigsby,JAX,RB,16,351,21.9,34.0,47.9,40.6,3.4,2.2,49.9,51.3,129.0,36.8
26,21674,J.K. Dobbins,LAC,RB,13,533,41.0,63.2,36.6,42.0,7.1,7.7,42.6,43.7,191.8,36.0
27,21768,Najee Harris,PIT,RB,17,569,33.5,50.4,46.2,49.3,8.4,10.0,52.5,54.7,204.6,36.0
28,16597,Mike Evans,TB,WR,14,671,47.9,58.8,0.0,0.0,16.4,19.5,11.0,16.4,240.4,35.8
29,18990,Jonnu Smith,MIA,TE,17,626,36.8,55.0,0.3,0.4,17.7,19.4,14.4,18.1,222.3,35.5
30,24123,Tyjae Spears,TEN,RB,12,320,26.7,29.3,26.2,18.7,10.9,7.2,35.6,37.2,113.6,35.5
31,21690,Tee Higgins,CIN,WR,12,636,53.0,55.9,0.0,0.0,17.1,17.2,11.5,17.1,222.1,34.9
32,21682,Jonathan Taylor,IND,RB,14,707,50.5,65.0,42.9,61.1,4.4,6.3,45.4,47.2,246.7,34.9
33,24933,Brian Thomas Jr.,JAX,WR,17,821,48.3,79.5,0.7,1.4,16.2,24.6,11.3,16.9,284.0,34.6
34,18880,Chris Godwin,TB,WR,7,399,57.0,87.1,0.3,0.2,15.5,11.0,12.8,15.8,137.8,34.5
35,19045,Aaron Jones,MIN,RB,17,700,41.2,62.7,36.4,51.3,8.9,11.8,43.7,45.3,241.6,34.5
36,20933,Miles Sanders,CAR,RB,11,224,20.4,33.9,24.6,13.5,13.4,6.9,35.3,37.9,77.3,34.5
37,21691,Chuba Hubbard,CAR,RB,15,712,47.5,77.4,35.1,61.3,7.6,12.4,41.2,42.7,241.6,33.9
38,23217,Rachaad White,TB,RB,16,591,36.9,51.8,24.4,29.8,9.6,10.1,33.0,34.0,199.6,33.8
39,21831,Jalen Hurts,PHI,QB,15,934,62.3,80.7,16.1,24.2,0.0,0.0,54.7,54.7,315.1,33.7
40,23235,Jayden Daniels,WAS,QB,17,1062,62.5,91.3,13.9,28.1,0.0,0.0,59.1,59.1,355.8,33.5
41,22526,Breece Hall,NYJ,RB,16,720,45.0,67.5,29.0,57.6,10.6,12.8,36.9,39.6,240.9,33.5
42,21693,Joe Burrow,CIN,QB,17,1132,66.6,99.6,3.7,10.8,0.0,0.0,61.3,61.3,372.8,32.9
43,23173,Zach Charbonnet,SEA,RB,17,568,33.4,51.6,23.8,35.3,9.2,9.2,31.2,32.9,186.9,32.9
44,25097,Ladd McConkey,LAC,WR,16,735,45.9,68.9,0.0,0.0,15.2,22.6,11.2,15.2,240.9,32.8
45,18944,Kareem Hunt,KC,RB,13,477,36.7,49.9,41.9,44.4,6.7,5.4,46.8,48.6,155.4,32.6
46,19790,Baker Mayfield,TB,QB,17,1123,66.1,98.3,5.3,12.4,0.0,0.0,56.1,56.1,365.8,32.6
47,15534,Adam Thielen,CAR,WR,10,429,42.9,69.1,0.0,0.0,14.5,14.3,11.2,14.5,139.5,32.5
48,24124,Tanner McKee,PHI,QB,2,89,44.5,7.7,5.6,0.8,0.0,0.0,56.2,56.2,28.8,32.4
49,19562,Austin Ekeler,WAS,RB,12,412,34.3,48.4,18.7,14.6,10.0,7.9,27.2,28.6,132.3,32.1
50,21679,CeeDee Lamb,DAL,WR,15,826,55.1,80.1,1.7,3.2,18.4,23.5,13.9,20.1,263.4,31.9
51,23190,Brian Robinson Jr.,WAS,RB,14,505,36.1,43.4,37.0,35.6,5.0,4.8,41.0,42.0,159.8,31.6
52,25025,Joe Milton III,NE,QB,1,61,61.0,5.6,16.4,2.2,0.0,0.0,63.9,63.9,19.2,31.5
53,22587,Amon-Ra St. Brown,DET,WR,17,1010,59.4,88.1,0.2,0.4,14.0,27.2,11.7,14.3,316.2,31.3
54,23227,Khalil Shakir,BUF,WR,15,586,39.1,53.9,0.3,0.4,17.1,18.6,13.3,17.4,182.5,31.1
55,21952,Rico Dowdle,DAL,RB,16,636,39.8,54.3,36.9,54.5,7.7,7.6,43.1,44.7,197.8,31.1
56,20868,Alexander Mattison,LV,RB,14,444,31.7,39.5,29.7,34.7,10.8,8.5,37.8,40.5,137.4,30.9
57,24953,Malik Nabers,NYG,WR,15,886,59.1,78.8,0.6,1.2,19.2,30.0,13.0,19.9,273.6,30.9
58,20802,Justice Hill,BAL,RB,15,414,27.6,37.3,11.4,8.5,12.3,11.3,21.5,23.7,127.1,30.7
59,23212,Kyren Williams,LAR,RB,16,888,55.5,81.5,35.6,70.2,4.5,7.4,39.4,40.1,272.1,30.6
60,21717,Jauan Jennings,SF,WR,15,689,45.9,63.9,0.0,0.0,16.4,22.0,11.2,16.4,210.5,30.6
61,16815,Ameer Abdullah,LV,RB,16,410,25.6,36.5,16.1,17.4,11.5,8.3,25.9,27.6,125.2,30.5
62,24145,Josh Downs,IND,WR,14,602,43.0,55.4,0.2,0.2,17.8,21.7,12.1,17.9,183.5,30.5
63,16470,Davante Adams,NYJ,WR,14,792,56.6,75.1,0.0,0.0,17.8,23.7,10.7,17.8,241.3,30.5
64,21685,Justin Jefferson,MIN,WR,17,1043,61.4,93.4,0.1,0.2,14.8,29.4,10.1,15.0,317.5,30.4
65,23364,Jordan Mason,SF,RB,12,378,31.5,49.7,40.5,33.5,3.7,2.7,43.4,44.2,115.0,30.4
66,16041,Jimmy Garoppolo,LAR,QB,1,66,66.0,6.9,3.0,0.4,0.0,0.0,65.2,65.2,19.9,30.1
67,22546,Rhamondre Stevenson,NE,RB,15,599,39.9,54.8,34.6,46.4,6.8,8.5,40.1,41.4,175.9,29.4
68,19063,George Kittle,SF,TE,15,808,53.9,74.9,0.0,0.0,11.6,18.3,9.7,11.6,236.6,29.3
69,22492,Justin Fields,PIT,QB,10,408,40.8,36.1,15.2,11.6,0.0,0.0,54.7,54.7,119.1,29.2
70,25069,Bo Nix,DEN,QB,17,1088,64.0,98.7,8.5,20.0,0.1,0.2,60.7,60.7,317.2,29.2
71,17922,Jared Goff,DET,QB,17,1113,65.5,97.1,3.1,6.6,0.1,0.2,51.7,51.7,324.5,29.2
72,21861,Antonio Gibson,NE,RB,17,359,21.1,32.8,33.4,26.9,8.1,6.0,39.8,41.5,103.4,28.8
73,23233,Jayden Reed,GB,WR,17,685,40.3,63.2,2.9,3.8,10.9,16.2,10.9,13.9,197.0,28.8
74,20239,Gus Edwards,LAC,RB,11,223,20.3,27.9,45.3,21.8,2.2,1.0,46.6,47.5,64.1,28.7
75,20873,Terry McLaurin,WAS,WR,17,935,55.0,80.4,0.2,0.4,12.5,22.4,9.0,12.7,267.8,28.6
76,20912,Tony Pollard,TEN,RB,16,701,43.8,64.1,37.1,57.8,8.1,11.7,42.9,45.2,200.7,28.6
77,18877,Christian McCaffrey,SF,RB,4,167,41.8,56.4,29.9,10.9,11.4,3.7,38.9,41.3,47.8,28.6
78,21684,D'Andre Swift,CHI,RB,17,751,44.2,66.1,33.7,60.1,6.9,9.9,39.3,40.6,214.5,28.6
79,21042,A.J. Brown,PHI,WR,13,766,58.9,66.2,0.0,0.0,12.7,23.4,8.7,12.7,216.9,28.3
80,16906,Stefon Diggs,HOU,WR,8,431,53.9,78.1,0.7,0.8,14.8,10.6,11.8,15.8,121.9,28.3
81,23241,Brock Purdy,SF,QB,15,944,62.9,87.5,7.0,14.4,0.0,0.0,55.2,55.2,266.9,28.3
82,25092,Tyrone Tracy Jr.,NYG,RB,17,651,38.3,57.9,29.5,45.1,8.1,9.4,35.3,37.6,182.3,28.0
83,20889,Kyler Murray,ARI,QB,17,1065,62.6,97.2,7.3,16.8,0.0,0.0,58.1,58.1,297.2,27.9
84,23479,Jaylen Warren,PIT,RB,15,447,29.8,39.6,26.8,22.5,10.7,10.0,35.3,37.6,124.1,27.8
85,19812,Sam Darnold,MIN,QB,17,1110,65.3,99.4,6.0,13.5,0.0,0.0,55.1,55.1,308.0,27.7
86,19803,Mark Andrews,BAL,TE,17,682,40.1,61.4,0.6,0.7,10.1,15.3,8.7,10.7,188.8,27.7
87,14986,DeAndre Hopkins,KC,WR,16,533,33.3,47.6,0.0,0.0,15.0,13.5,10.5,15.0,147.0,27.6
88,21784,Zack Moss,CIN,RB,8,297,37.1,53.9,24.9,19.1,9.1,4.3,32.7,34.0,81.9,27.6
89,22558,Javonte Williams,DEN,RB,17,574,33.8,52.1,24.2,30.2,12.2,13.5,33.3,36.4,157.9,27.5
90,24943,Brock Bowers,LV,TE,17,956,56.2,85.1,0.5,1.3,16.0,27.1,12.2,16.5,262.7,27.5
91,18882,Cooper Kupp,LAR,WR,12,637,53.1,58.4,0.3,0.4,15.7,18.5,10.8,16.0,175.0,27.5
92,21681,Justin Herbert,LAC,QB,17,1045,61.5,97.9,6.6,14.9,0.0,0.0,54.8,54.8,285.4,27.3
93,23151,Drake London,ATL,WR,17,1032,60.7,90.3,0.1,0.2,15.3,29.3,9.8,15.4,280.8,27.2
94,22553,Michael Carter,ARI,RB,3,132,44.0,61.7,26.5,7.6,8.3,2.1,34.8,34.8,35.8,27.1
95,22490,Trevor Lawrence,JAX,QB,10,536,53.6,77.0,4.9,6.3,0.0,0.0,57.8,57.8,145.2,27.1
96,19853,Mike Gesicki,CIN,TE,17,523,30.8,46.0,0.0,0.0,15.9,13.1,12.4,15.9,141.5,27.1
97,21841,Jordan Love,GB,QB,15,868,57.9,80.1,2.9,4.8,0.0,0.0,51.8,51.8,233.9,26.9
98,19798,Nick Chubb,CLE,RB,8,236,29.5,40.5,43.2,26.1,4.7,1.9,45.3,47.9,63.3,26.8
99,23132,Bryce Young,CAR,QB,14,728,52.0,70.4,5.9,10.5,0.0,0.0,58.7,58.7,195.0,26.8
100,23251,Trey McBride,ARI,TE,16,934,58.4,85.2,0.1,0.2,15.7,28.1,12.0,15.8,249.8,26.7
101,23157,Jaxon Smith-Njigba,SEA,WR,17,948,55.8,86.2,0.5,1.3,14.5,24.2,11.2,15.1,253.0,26.7
102,24226,Quentin Johnston,LAC,WR,15,656,43.7,61.5,0.5,0.6,13.9,18.3,8.8,14.3,174.7,26.6
103,23729,Rashid Shaheed,NO,WR,6,286,47.7,75.7,2.1,1.4,14.3,7.8,9.1,16.4,75.8,26.5
104,21696,Travis Etienne Jr.,JAX,RB,15,494,32.9,47.8,30.4,36.2,10.5,9.6,38.3,40.9,130.2,26.4
105,24117,Anthony Richardson Sr.,IND,QB,11,620,56.4,57.0,13.9,17.3,0.2,0.2,56.6,56.6,163.4,26.3
106,23371,Isiah Pacheco,KC,RB,7,218,31.1,43.3,38.1,18.4,7.3,2.7,43.6,45.4,56.9,26.1
107,16762,Jameis Winston,CLE,QB,12,504,42.0,42.7,5.0,6.4,0.0,0.0,63.7,63.7,131.1,26.0
108,24958,Drake Maye,NE,QB,13,681,52.4,62.3,7.9,12.1,0.0,0.0,57.6,57.6,177.1,26.0
109,23162,Jordan Addison,MIN,WR,15,818,54.5,73.2,0.4,0.6,12.1,18.9,8.1,12.5,212.5,26.0
110,23234,Jameson Williams,DET,WR,15,826,55.1,79.3,1.3,2.1,11.0,17.5,8.4,12.3,212.2,25.7
111,19800,Courtland Sutton,DEN,WR,17,936,55.1,84.9,0.0,0.0,14.4,26.1,8.9,14.6,240.3,25.7
112,18890,Patrick Mahomes,KC,QB,16,1106,69.1,96.3,5.2,12.9,0.1,0.2,57.9,57.9,283.0,25.6
113,17217,Raheem Mostert,MIA,RB,13,278,21.4,24.4,30.6,19.1,8.3,4.0,37.4,38.8,70.9,25.5
114,23205,Jerome Ford,CLE,RB,14,526,37.6,46.9,19.8,26.6,8.2,7.4,26.8,27.9,134.0,25.5
115,20941,Devin Singletary,NYG,RB,15,380,25.3,33.8,29.7,26.5,6.3,4.2,35.3,36.1,96.6,25.4
116,21677,Tua Tagovailoa,MIA,QB,11,717,65.2,82.4,2.4,3.8,0.0,0.0,58.0,58.0,181.6,25.3
117,18876,David Njoku,CLE,TE,11,589,53.5,52.5,0.0,0.0,16.5,16.7,10.9,16.5,148.5,25.2
118,23120,Zay Flowers,BAL,WR,17,832,48.9,75.0,1.1,1.6,13.9,25.7,10.0,15.0,209.5,25.2
119,16311,Derek Carr,NO,QB,10,604,60.4,55.5,2.8,3.8,0.0,0.0,49.0,49.0,150.9,25.0
120,20859,Drew Lock,NYG,QB,8,321,40.1,28.5,5.6,4.2,0.0,0.0,62.0,62.0,80.1,25.0
121,2593,Aaron Rodgers,NYJ,QB,17,1030,60.6,96.6,2.1,6.1,0.0,0.0,58.8,58.8,256.6,24.9
122,21687,DeVonta Smith,PHI,WR,13,801,61.6,69.2,0.1,0.2,11.1,21.4,8.6,11.2,199.4,24.9
123,14895,Geno Smith,SEA,QB,17,1075,63.2,97.7,4.9,13.9,0.0,0.0,58.7,58.7,266.0,24.7
124,24924,Xavier Worthy,KC,WR,17,757,44.5,65.9,2.6,4.4,12.9,16.5,10.4,15.6,187.2,24.7
125,18912,Evan Engram,JAX,TE,9,363,40.3,48.1,0.0,0.0,17.6,11.8,12.9,17.6,89.5,24.7
126,23122,Garrett Wilson,NYJ,WR,17,1025,60.3,96.2,0.2,0.6,15.0,25.9,10.0,15.2,251.9,24.6
127,22565,Chris Olave,NO,WR,8,315,39.4,52.5,0.3,0.2,14.0,8.4,10.5,14.3,76.7,24.3
128,20876,Jakobi Meyers,LV,WR,15,898,59.9,80.0,0.2,0.5,14.4,22.8,9.9,14.6,218.0,24.3
129,18082,Tyreek Hill,MIA,WR,17,906,53.3,79.6,0.9,1.8,13.6,21.5,9.8,14.5,218.2,24.1
130,14536,Russell Wilson,PIT,QB,11,719,65.4,63.7,6.0,8.1,0.0,0.0,52.7,52.7,172.8,24.0
131,23118,Malik Willis,GB,QB,7,217,31.0,20.0,9.2,3.8,0.0,0.0,34.1,34.1,51.8,23.9
132,25198,Devaughn Vele,DEN,WR,13,447,34.4,40.6,0.0,0.0,12.3,10.6,9.2,12.3,106.5,23.8
133,22602,Tutu Atwell,LAR,WR,17,425,25.0,39.0,0.5,0.4,14.6,11.5,10.6,15.3,98.9,23.3
134,18055,Dak Prescott,DAL,QB,8,501,62.6,81.7,2.6,3.0,0.0,0.0,59.7,59.7,116.5,23.3
135,19863,Dallas Goedert,PHI,TE,10,446,44.6,50.7,0.0,0.0,11.7,12.5,9.4,11.7,103.6,23.2
136,21142,Olamide Zaccheaus,WAS,WR,17,494,29.1,42.5,0.2,0.2,13.0,12.3,9.3,13.2,114.4,23.2
137,14856,Zach Ertz,WAS,TE,17,771,45.4,66.3,0.0,0.0,11.8,17.4,8.6,11.8,177.4,23.0
138,20875,DK Metcalf,SEA,WR,15,831,55.4,75.5,0.0,0.0,13.0,19.1,7.9,13.0,191.2,23.0
139,22623,Rashod Bateman,BAL,WR,17,766,45.1,69.0,0.0,0.0,9.4,15.9,5.9,9.4,174.6,22.8
140,21769,Clyde Edwards-Helaire,NO,RB,2,44,22.0,4.3,29.5,2.9,11.4,1.0,36.4,40.9,10.0,22.7
141,24974,Marvin Harrison Jr.,ARI,WR,17,865,50.9,78.9,0.0,0.0,13.4,22.2,7.2,13.4,196.5,22.7
142,21692,Jerry Jeudy,CLE,WR,17,1061,62.4,89.9,0.0,0.0,13.7,25.0,8.5,13.7,240.9,22.7
143,24927,Caleb Williams,CHI,QB,17,1123,66.1,98.9,7.2,19.2,0.0,0.0,57.3,57.3,254.5,22.7
144,20932,Deebo Samuel Sr.,SF,WR,15,682,45.5,63.2,6.2,9.2,11.9,15.8,13.6,18.0,153.6,22.5
145,23257,Aidan Hutchinson,DET,DL,5,280,56.0,81.9,0.0,0.0,0.0,0.0,0.0,0.0,63.0,22.5
