rank,id,player,team,pos,team.bye_week,player.age,adp_prev,pos_rank_prev
1,22564,Ja'Marr Chase,CIN,WR,10,25,6.0,WR4
2,19766,Saquon Barkley,PHI,RB,9,28,11.0,RB5
3,23189,Bijan Robinson,ATL,RB,5,23,5.0,RB2
4,23200,Jahmyr Gibbs,DET,RB,8,23,12.0,RB6
5,21685,Justin Jefferson,MIN,WR,6,26,4.0,WR3
6,21679,CeeDee Lamb,DAL,WR,10,26,3.0,WR2
7,25868,Ashton Jeanty,LV,RB,8,21,,
8,18877,Christian McCaffrey,SF,RB,14,29,1.0,RB1
9,24172,Puka Nacua,LAR,WR,8,24,14.0,WR8
10,21756,Nico Collins,HOU,WR,6,26,28.0,WR14
11,17959,Derrick Henry,BAL,RB,7,31,16.0,RB7
12,24953,Malik Nabers,NYG,WR,14,22,45.0,WR23
13,22587,Amon-Ra St. Brown,DET,WR,8,25,8.0,WR5
14,21682,Jonathan Taylor,IND,RB,11,26,10.0,RB4
15,20824,Josh Jacobs,GB,RB,5,27,22.0,RB11
16,24179,De'Von Achane,MIA,RB,12,23,20.0,RB10
17,24933,Brian Thomas Jr.,JAX,WR,8,22,109.0,WR47
18,24967,Bucky Irving,TB,RB,9,22,160.0,RB53
19,19781,Lamar Jackson,BAL,QB,7,28,37.0,QB4
20,23212,Kyren Williams,LAR,RB,8,24,18.0,RB9
21,19801,Josh Allen,BUF,QB,7,29,23.0,QB1
22,21042,A.J. Brown,PHI,WR,9,28,9.0,WR6
23,23151,Drake London,ATL,WR,5,24,19.0,WR10
24,25097,Ladd McConkey,LAC,WR,12,23,95.0,WR40
25,24374,Chase Brown,CIN,RB,10,25,111.0,RB39
26,23235,Jayden Daniels,WAS,QB,12,24,102.0,QB13
27,23247,James Cook,BUF,RB,7,25,35.0,RB14
28,18082,Tyreek Hill,MIA,WR,12,31,2.0,WR1
29,21693,Joe Burrow,CIN,QB,10,28,65.0,QB7
30,24943,Brock Bowers,LV,TE,8,22,89.0,TE11
31,22526,Breece Hall,NYJ,RB,9,24,7.0,RB3
32,21690,Tee Higgins,CIN,WR,10,26,59.0,WR26
33,23157,Jaxon Smith-Njigba,SEA,WR,8,23,99.0,WR42
34,24974,Marvin Harrison Jr.,ARI,WR,8,22,15.0,WR9
35,21831,Jalen Hurts,PHI,QB,9,26,30.0,QB3
36,20873,Terry McLaurin,WAS,WR,12,29,66.0,WR30
37,16597,Mike Evans,TB,WR,9,31,34.0,WR16
38,16470,Davante Adams,LAR,WR,8,32,21.0,WR11
39,23122,Garrett Wilson,NYJ,WR,9,25,13.0,WR7
40,18878,Alvin Kamara,NO,RB,11,30,46.0,RB17
41,25956,Omarion Hampton,LAC,RB,12,22,,
42,23214,Kenneth Walker III,SEA,RB,8,24,43.0,RB16
43,18983,James Conner,ARI,RB,8,30,55.0,RB19
44,21691,Chuba Hubbard,CAR,RB,14,26,120.0,RB42
45,23251,Trey McBride,ARI,TE,8,25,48.0,TE3
