rk,id,player,pos,team,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,last3_share,last3_per_gp,last3_rec,last3_tgt,total_share,total_per_gp,total_rec,total_tgt
1,22564,Ja'Marr Chase,WR,CIN,6,5,7,6,12,6,6,11,11,17,13,,9,18,11,8,15,14,29.6,12.3,25,37,26.8,10.3,127,175
2,24953,Malik Nabers,WR,NYG,7,18,12,15,,,8,13,11,10,,9,13,10,14,14,8,8,33.0,10.0,19,30,32.9,11.3,109,170
3,23151,Drake London,WR,ATL,3,7,9,12,13,10,8,6,2,13,7,,16,10,3,8,13,18,39.0,13.0,22,39,28.3,9.3,100,158
4,21685,Justin Jefferson,WR,MIN,6,7,8,8,14,,8,9,9,9,8,5,9,7,14,13,11,9,27.7,11.0,21,33,28.1,9.1,103,154
5,23122,Garrett Wilson,WR,NYJ,11,6,9,8,23,10,9,8,10,6,8,,10,10,6,7,8,5,18.0,6.7,17,20,25.4,9.1,101,154
6,24943,Brock Bowers,TE,LV,8,9,4,3,12,10,14,5,8,,16,10,14,5,6,13,7,9,26.6,9.7,22,29,24.1,9.0,112,153
7,21679,CeeDee Lamb,WR,DAL,10,7,7,8,9,14,,17,12,10,12,12,6,7,13,8,,,22.9,8.0,7,8,26.5,10.1,101,152
8,23251,Trey McBride,TE,ARI,9,6,6,,9,8,7,11,4,5,,15,12,14,10,4,16,11,27.0,10.3,22,31,28.2,9.2,111,147
9,21692,Jerry Jeudy,WR,CLE,8,6,7,9,3,3,6,8,11,,11,6,13,6,14,3,18,13,29.6,11.3,20,34,21.9,8.5,90,145
10,16470,Davante Adams,WR,NYJ,6,12,9,,,,9,6,11,13,7,,12,11,12,13,8,12,29.7,11.0,18,33,28.6,10.1,85,141
11,22587,Amon-Ra St. Brown,WR,DET,6,18,8,6,,4,8,2,7,8,11,7,7,6,18,8,10,7,25.3,8.3,20,25,25.6,8.3,115,141
12,19844,DJ Moore,WR,CHI,8,10,10,6,8,5,,4,9,6,7,7,16,8,8,10,8,10,28.6,9.3,22,28,24.7,8.2,98,140
13,23170,Wan'Dale Robinson,WR,NYG,12,4,8,14,9,11,9,5,4,8,,5,2,11,9,12,6,11,31.9,9.7,22,29,23.7,8.2,93,140
14,23157,Jaxon Smith-Njigba,WR,SEA,2,16,3,12,7,9,6,7,13,,11,7,4,5,12,12,6,5,24.7,7.7,15,23,23.1,8.1,100,137
